|novel|brut_sum|brut_type|Total Words|Percentage
0|Baldur   Alle Farben der Magie_0|392|45|47863|0.8190042412719638
1|Baldur   Alle Farben der Magie_1|471|50|48556|0.970014004448472
2|Baldur   Alle Farben der Magie_2|509|56|49117|1.0363010770201762
3|Baldur   Alle Farben der Magie_3|331|51|48992|0.6756205094709341
4|Baldur   Alle Farben der Magie_4|403|52|48344|0.8336091345358266
5|Baldur   Alle Farben der Magie_5|454|56|47813|0.949532553907933
6|Baldur   Alle Farben der Magie_6|408|44|47975|0.8504429390307452
7|Baldur   Alle Farben der Magie_7|492|58|48527|1.013868568013683
8|Baldur   Alle Farben der Magie_8|377|58|48648|0.7749547771748068
9|Baldur   Alle Farben der Magie_9|395|47|48462|0.8150716024926747
10|Baldur   Alle Farben der Magie_10|483|47|48169|1.002719591438477
11|Baldur   Alle Farben der Magie_11|164|37|19814|0.8276975875643484
12|Clash of Times|388|43|20855|1.8604651162790697
13|Der Held von Aranor|175|41|30455|0.5746182892792645
14|Der König von Kalaß_0|231|46|48837|0.47300202715154493
15|Der König von Kalaß_1|303|49|49126|0.6167813377844725
16|Der König von Kalaß_2|64|27|12708|0.5036197670758578
17|Der Zeitzug   Die erste Fahrt des Schaffners|45|20|11484|0.3918495297805642
18|Die Chroniken der sieben Schwerter|147|29|21612|0.6801776790671848
19|Die Geschichte von Lars Zickler_0|357|51|49381|0.7229501225167575
20|Die Geschichte von Lars Zickler_1|52|18|5831|0.8917852855427886
21|Die Große Liebe im Jugendknast_0|209|32|52804|0.3958033482311946
22|Die Große Liebe im Jugendknast_1|164|26|52819|0.31049432969196694
23|Die Große Liebe im Jugendknast_2|185|29|52557|0.35199878227448295
24|Die Große Liebe im Jugendknast_3|117|20|52253|0.22391058886571105
25|Die Große Liebe im Jugendknast_4|67|17|20834|0.32158970912930784
26|Die Höhle|149|31|14562|1.023211097376734
27|Die Kinder des Windes|222|39|38348|0.5789089391884844
28|Ein Traum |165|37|15433|1.069137562366358
29|Fjell   Der Berg der Jomsburg|161|30|18088|0.890092879256966
30|Gabriel|200|36|42135|0.47466476800759466
31|Geschäftsmann und Schamane|158|36|30083|0.5252135757736928
32|Hinter den Bergen_0|425|49|48437|0.8774284121642545
33|Hinter den Bergen_1|41|15|4329|0.9471009471009472
34|Infected   Kaltes Leben|52|23|10458|0.49722700325109964
35|Jane   Dem Wahnsinn Entgegen|113|26|11614|0.9729636645427931
36|Kreiling Power_0|372|47|48587|0.7656368987589273
37|Kreiling Power_1|287|46|48833|0.5877173223025414
38|Kreiling Power_2|325|41|48712|0.6671867301691575
39|New Earth|134|32|15578|0.8601874438310437
40|Piraten|235|29|39760|0.5910462776659959
41|Risen from Ruins|92|33|11739|0.7837124116193883
42|Seelenlicht|138|33|10630|1.2982126058325494
43|Shadow Sky|239|38|23403|1.0212365935991112
44|Spirit Force|33|19|10297|0.32048169369719337
45|Star Dart 2   Die Kinder des Universums|222|41|34381|0.6457054768622205
46|Sturmkind 1   Der Tempel der vier Winde |240|43|35761|0.671122172198764
47|The Heavy Way|136|33|22479|0.605009119622759
48|The Unreal Reality|278|38|28094|0.9895351320566669
49|The splintered truth_0|289|45|48184|0.5997841607172505
50|The splintered truth_1|497|53|48585|1.022949470001029
51|The splintered truth_2|429|60|48708|0.8807588075880758
52|The splintered truth_3|408|44|48374|0.8434282879232646
53|The splintered truth_4|540|53|48305|1.1178966980643825
54|The splintered truth_5|259|45|48145|0.5379582511164192
55|The splintered truth_6|422|50|48311|0.8735070687835069
56|The splintered truth_7|323|47|48706|0.6631626493655812
57|The splintered truth_8|370|56|48911|0.7564760483326859
58|The splintered truth_9|292|40|48686|0.5997617384874502
59|The splintered truth_10|257|46|43155|0.5955277488124203
60|Tokyo Devils  Tokyo Sharks_0|233|44|48885|0.47662882274726404
61|Tokyo Devils  Tokyo Sharks_1|281|43|48862|0.5750890262371577
62|Tokyo Devils  Tokyo Sharks_2|262|46|48458|0.5406743984481407
63|Tokyo Devils  Tokyo Sharks_3|266|43|48543|0.5479677811424922
64|Tokyo Devils  Tokyo Sharks_4|173|39|48951|0.35341463912892485
65|Tokyo Devils  Tokyo Sharks_5|259|47|48930|0.5293276108726753
66|Tokyo Devils  Tokyo Sharks_6|10|8|4109|0.24336821611097592
67|Ulrik 2_0|342|46|48699|0.7022731472925523
68|Ulrik 2_1|384|50|48578|0.7904812878257648
69|Ulrik 2_2|414|46|48578|0.8522376384371526
70|Ulrik 2_3|140|30|18031|0.7764405745660252
